position_mm,Al,Si,Cl,Ca,Sc,Ti,Mn,Fe,Cu,As,Se,Sr,Y,Cd,Sb
0.0,478,1569,1205,4380733,3492,846,1195,1388,3832,436,1263,1388,410,2396,1676
0.1999999999999993,402,1369,1143,4367031,3069,718,1619,1172,3984,731,1344,1460,359,2315,278
0.3999999999999986,472,1267,1212,4449432,3248,938,2651,1463,4120,895,1486,1460,271,2291,27
0.6000000000000014,336,1212,1258,4485050,3275,579,2645,1291,4238,1027,1467,1359,539,2195,0
0.8000000000000007,421,1182,1283,4454251,3336,468,1007,1273,4065,751,1496,1454,417,2248,0
1.0,460,1039,1154,4415939,3380,394,1044,1154,4029,357,1610,1449,334,2326,674
1.1999999999999993,393,875,1178,4387423,4088,588,1062,569,3926,560,1526,1657,473,2171,751
1.3999999999999986,408,821,1027,4403963,3354,610,857,460,4061,581,1250,1454,362,2079,503
1.6000000000000014,327,1192,1220,4316110,3847,353,904,423,4041,749,1317,1482,436,2135,0
1.8000000000000007,459,1012,1340,4395432,4278,384,1440,662,4321,664,1222,1481,381,2384,0
2.0,443,1084,1356,4431743,3499,946,1701,463,4662,616,1537,1603,372,2219,375
2.1999999999999993,437,1163,1290,4343738,2594,712,904,345,4478,248,1398,1561,311,2329,274
2.3999999999999986,407,1028,1205,4252383,3983,136,808,273,4147,420,1264,1395,298,2272,284
2.6000000000000014,360,922,1181,4195554,3410,95,852,300,4259,340,1095,1379,270,2158,0
2.8000000000000007,399,789,1219,3933693,3732,80,473,310,3824,0,1151,1106,71,2162,0
3.0,480,722,1290,3854421,3360,111,182,490,3928,0,1248,1260,70,2045,0
3.1999999999999993,481,840,1401,4037614,3533,156,0,802,4131,97,1437,1336,274,2057,0
3.3999999999999986,353,926,1358,4179949,3945,91,0,1049,4302,71,1339,1068,55,2186,0
3.6000000000000014,388,929,1245,4257540,3276,193,0,615,4311,686,1688,1348,93,2387,0
3.8000000000000007,520,779,1426,4430811,3212,123,0,474,4163,682,1358,1636,193,2241,288
4.0,351,860,1292,4471230,2519,82,72,395,4388,758,1502,1421,264,2198,0
4.199999999999999,497,787,1409,4392797,2452,105,228,566,4132,1024,1586,1489,386,2197,1124
